manufacturer,model,price,year,condition,cylinders,fuel,odometer,transmission,odometer_km
Toyota,Tundra Double Cab Sr,30990,2017,good,8 ,gas,41124.0,other,66182
Toyota,Tacoma,35000,2019,excellent,6 ,gas,43000.0,automatic,69201
Toyota,Tacoma Access Cab Pickup,27990,2014,good,,other,17805.0,other,28654
Toyota,Tundra Crewmax Sr5 Pickup,33590,2014,good,,other,55251.0,other,88917
Toyota,Tacoma Double Cab Sr5,30590,2016,good,,other,30176.0,other,48563
Honda,Odyssey,14000,2012,excellent,6 ,gas,95000.0,automatic,152887
Toyota,Tundra Double Cab Pickup,31990,2013,good,8 ,gas,55068.0,other,88623
Toyota,Tacoma Access Cab Pickup,22990,2012,good,,gas,37725.0,other,60712
Honda,Civic Si Coupe 2D,26590,2020,good,,gas,9954.0,other,16019
Honda,Civic Lx Sedan 4D,18590,2018,good,,gas,28942.0,other,46577
Honda,Civic Ex Sedan 4D,21590,2018,good,,gas,7885.0,other,12689
Toyota,Tacoma Double Cab Pickup,29990,2012,good,6 ,gas,43182.0,other,69494
Toyota,Fj Cruiser,17500,2008,good,6 ,gas,201300.0,manual,323960
Toyota,Camry Le Sedan 4D,18590,2017,good,,gas,30223.0,other,48639
Toyota,Tacoma 4X4,21950,2012,excellent,4 ,gas,143060.0,manual,230232
Toyota,Tacoma,13950,2011,good,4 ,gas,151060.0,automatic,243106
Toyota,Tacoma Double Cab,16950,2007,good,6 ,gas,156792.0,automatic,252331
Honda,Crv Ex,12950,2011,excellent,4 ,gas,87994.0,automatic,141612
Toyota,Rav4,1800,1998,good,4 ,gas,240537.0,manual,387105
Toyota,Fj Cruiser,16988,2008,,,gas,188099.0,automatic,302715
Toyota,Tacoma,32186,2021,,,gas,1443.0,automatic,2322
Honda,Ridgeline,6900,2009,fair,,gas,198000.0,automatic,318649
Toyota,Camry,3500,2003,good,4 ,gas,237000.0,automatic,381413
Toyota,Echo,4000,2002,excellent,4 ,gas,155000.0,automatic,249447
Honda,Accord,2500,2008,good,6 ,gas,204561.0,automatic,329208
Toyota,Corolla,16902,2020,,,gas,11692.0,automatic,18816
Honda,Accord Ex-L,7800,2005,excellent,4 ,gas,155000.0,manual,249447
Toyota,Camry,2675,1996,,4 ,gas,164719.0,automatic,265088
Toyota,Avalon,6980,2008,,6 ,gas,158888.0,automatic,255704
Honda,Odyssey Ex,11500,2013,good,,gas,92000.0,automatic,148059
Toyota,Tacoma Access Cab Pickup,27990,2014,good,,other,17805.0,other,28654
Toyota,Camry,4499,2005,,4 ,gas,170687.0,automatic,274693
Toyota,4Runner Limited,4950,2001,,6 ,gas,266000.0,automatic,428084
Toyota,Tundra Crewmax Sr5 Pickup,33590,2014,good,,other,55251.0,other,88917
Honda,Pilot Lx Sport Utility 4D,26590,2017,good,6 ,gas,13836.0,other,22266
Toyota,Tacoma 4X4,15000,2009,good,6 ,gas,213800.0,automatic,344076
Toyota,Tundra,50000,2019,like new,8 ,gas,20010.0,automatic,32202
Toyota,Tacoma,26990,2016,,6 ,gas,102089.0,automatic,164295
Toyota,4Runner,17977,2012,,,gas,182263.0,automatic,293323
Toyota,4Runner Sport Edition,12250,2007,,,gas,189000.0,automatic,304165
Honda,Accord Sedan,3999,2006,,4 ,gas,253076.0,automatic,407285
Toyota,Prius,8900,2013,excellent,4 ,hybrid,142900.0,automatic,229974
Toyota,Tacoma Double Cab Sr5,30590,2016,good,,other,30176.0,other,48563
Toyota,Camry,4000,2002,like new,4 ,gas,160000.0,automatic,257494
Toyota,Camry,10800,2013,excellent,4 ,hybrid,147000.0,automatic,236572
Toyota,Venza,11977,2009,,,gas,76662.0,automatic,123375
Toyota,4Runner Sr5 Sport Utility,36990,2018,good,6 ,gas,21415.0,other,34464
Toyota,Camry L Sedan 4D,21990,2019,good,,other,5607.0,other,9023
Toyota,Solara,1500,2005,good,4 ,gas,222100.0,automatic,357434
Toyota,Prius V Hybrid,9500,2014,good,4 ,gas,136128.0,automatic,219076
Toyota,Tundra,10000,2010,,,gas,180000.0,automatic,289681
Toyota,Corolla,21334,2021,,,gas,7277.0,automatic,11711
Toyota,Fj Cruiser 4X4,16888,2008,good,6 ,gas,188096.0,automatic,302710
Toyota,Corolla,16990,2019,,4 ,gas,44752.0,automatic,72021
Toyota,Camry,12499,2012,,4 ,gas,64950.0,automatic,104526
Toyota,Tundra Double Cab,28249,2016,,8 ,gas,78000.0,automatic,125528
Toyota,Camry,7999,2007,,6 ,gas,67650.0,automatic,108871
Toyota,Corolla Le,9990,2015,excellent,4 ,gas,125224.0,automatic,201527
Honda,Crv Ex-L,11990,2011,excellent,4 ,gas,109000.0,automatic,175418
Honda,Cr V,0,2018,excellent,4 ,gas,22761.0,automatic,36630
Honda,Cr-V Ex-L,14700,2015,excellent,4 ,gas,70672.0,automatic,113735
Toyota,Camry,17989,2018,,,gas,120943.0,automatic,194638
Toyota,Corolla,22602,2021,,,gas,10883.0,automatic,17514
Honda,Civic Del Sol Si,3500,1995,good,4 ,gas,215000.0,manual,346008
Toyota,Highlander,7200,2007,excellent,4 ,gas,155490.0,automatic,250236
Honda,Accord Crosstour Exl,10900,2010,good,6 ,gas,97804.0,automatic,157399
Toyota,Camry,2675,1996,,4 ,gas,164719.0,automatic,265088
Toyota,Fj Cruiser 4X4,16888,2008,good,6 ,gas,188096.0,automatic,302710
Toyota,Tacoma,40499,2020,,,gas,9674.0,automatic,15568
Honda,Civic Ex,3950,2003,excellent,4 ,gas,236890.0,automatic,381236
Honda,Accord Sedan,3450,1997,,4 ,gas,172295.0,automatic,277281
Honda,Element Ex,5000,2005,good,4 ,gas,182000.0,automatic,292899
Honda,Accord Coupe,6500,2010,like new,4 ,gas,170000.0,automatic,273587
Toyota,Fj Cruiser 4X4,16888,2008,good,6 ,gas,188096.0,automatic,302710
